Nr,s1,s2,x1_start,x2_start,x1_opt,x2_opt,f_opt,f_calls,flag
65,0.1,0.1,0.0626799,0.228259,-1.55004e-07,0.0118373,0.00445872,193,2
66,0.1,0.1,0.213129,0.293798,3.52696e-07,0.0109551,0.0038193,187,2
67,0.1,0.1,-0.036754,0.487886,-6.94857e-07,0.775922,0.619883,207,2
68,0.1,0.1,-0.753745,0.81847,-0.774715,0.76847,1.24089,211,2
69,0.1,0.1,-0.144662,-0.0682341,9.59601e-07,-0.00358943,0.000410233,161,2
70,0.1,0.1,0.109091,0.404506,3.75285e-07,0.779636,0.620595,229,2
71,0.1,0.1,0.471318,0.232478,0.774715,-0.0235879,0.637505,141,2
72,0.1,0.1,-0.664828,0.35962,-0.774715,0.0267775,0.642588,185,2
73,0.1,0.1,-0.400613,-0.868214,7.73089e-07,-0.774874,0.619838,181,2
74,0.1,0.1,-0.676346,-0.0827139,-0.774715,-1.38479e-06,0.619837,331,2
75,0.1,0.1,-0.995352,0.315981,-0.774715,-0.0107958,0.623546,233,2
76,0.1,0.1,-0.118753,0.509838,6.00116e-07,0.774483,0.619839,119,2
77,0.1,0.1,-0.850402,0.894354,-0.774716,0.808999,1.27681,171,2
78,0.1,0.1,0.505181,-0.387232,0.774717,-0.000222392,0.619839,163,2
79,0.1,0.1,-0.748473,-0.929891,-0.774715,-0.794535,1.25204,151,2
80,0.1,0.1,-0.452407,-0.651194,2.78183e-07,-0.774717,0.619837,271,2
81,0.1,0.1,-0.0477871,-0.743372,3.59433e-07,-0.793372,0.630794,227,2
82,0.1,0.1,-0.686641,0.130076,-0.774715,0.00936563,0.622629,185,2
83,0.1,0.1,0.416352,0.548629,0.774717,0.773185,1.23975,183,2
84,0.1,0.1,0.838942,-0.757114,0.774716,-0.774791,1.23967,199,2
85,0.1,0.1,0.253274,-0.627106,-3.14796e-07,-0.786205,0.623982,157,2
86,0.1,0.1,0.310233,0.141863,5.94226e-08,-0.0172358,0.00944561,161,2
87,0.1,0.1,-0.238502,0.148416,1.63858e-07,0.0630608,0.12414,209,2
88,0.1,0.1,0.00859424,0.131425,9.63298e-07,-9.26802e-05,2.73545e-07,201,2
89,0.1,0.1,0.258965,-0.531977,3.25978e-07,-0.781609,0.621327,157,2
90,0.1,0.1,-0.715023,0.344962,-0.774716,-0.00195758,0.619959,185,2
91,0.1,0.1,-0.745497,0.377906,-0.774715,0.713261,1.35179,215,2
92,0.1,0.1,0.287013,0.0756615,5.05776e-07,-0.00969381,0.00299084,205,2
93,0.1,0.1,0.134688,0.792256,6.95e-07,0.767739,0.621352,171,2
94,0.1,0.1,0.221149,0.279279,5.76332e-07,-0.000530639,8.96615e-06,229,2
95,0.1,0.1,-0.453765,-0.856707,6.01792e-07,-0.78219,0.621588,183,2
96,0.1,0.1,-0.779806,-0.555643,-0.774715,-0.774716,1.23967,253,2
97,0.1,0.1,0.415588,-0.281054,0.774716,-0.00757028,0.621662,161,2
98,0.1,0.1,0.796543,0.806125,0.774716,0.773045,1.23976,165,2
99,0.1,0.1,-0.276402,0.756398,7.59511e-07,0.77256,0.619982,149,2
100,0.1,0.1,-0.90677,-0.824227,-0.774716,-0.77469,1.23967,219,2
1,0.5,0.5,-0.122369,-0.233294,5.72502e-07,0.00598277,0.00113955,261,2
2,0.5,0.5,0.747769,0.587436,0.774716,0.774807,1.23967,247,2
3,0.5,0.5,0.641675,-0.819507,0.774715,-0.797409,1.25591,203,2
4,0.5,0.5,-0.293411,0.0106204,0.774716,0.0106204,0.623427,201,2
5,0.5,0.5,-0.771021,0.855673,-0.774716,0.77472,1.23967,291,2
6,0.5,0.5,0.0539243,0.913231,-6.04181e-07,-0.774718,0.619837,249,2
7,0.5,0.5,-0.864319,-0.924284,-0.774714,-0.774425,1.23968,225,2
8,0.5,0.5,0.118558,-0.339506,4.90224e-07,-0.00490938,0.000767377,301,2
9,0.5,0.5,0.00952702,0.317265,4.70261e-07,0.774839,0.619838,277,2
10,0.5,0.5,0.487395,-0.954823,0.774716,-0.954823,2.1841,247,2
11,0.5,0.5,0.516875,-0.655921,1.6805e-07,-0.767056,0.621662,161,2
12,0.5,0.5,-0.498466,0.164743,8.53222e-08,0.000761661,1.84727e-05,279,2
13,0.5,0.5,0.926601,0.463902,0.774716,0.787126,1.24451,243,2
14,0.5,0.5,-0.0548327,0.817545,-2.80574e-07,0.755045,0.631779,201,2
15,0.5,0.5,-0.216059,-0.0413666,8.15695e-07,0.0410423,0.0531896,227,2
16,0.5,0.5,0.517151,-0.408429,2.85341e-07,-0.261983,1.53645,175,2
17,0.5,0.5,0.266066,-0.83129,0.774717,-0.809193,1.27724,213,2
18,0.5,0.5,0.459982,0.112207,0.774715,3.67539e-06,0.619837,333,2
19,0.5,0.5,0.737886,0.221812,0.774716,0.775159,1.23968,245,2
20,0.5,0.5,-0.582699,-0.444344,-7.48522e-07,0.0050949,0.000826461,221,2
21,0.5,0.5,0.239544,-0.607671,0.774717,-0.019283,0.631655,147,2
22,0.5,0.5,-0.62853,0.53979,0.774715,-0.0637635,0.746703,217,2
23,0.5,0.5,-0.91607,-0.979419,-0.774715,-0.76603,1.24202,197,2
24,0.5,0.5,0.399563,0.935009,0.774717,0.779084,1.24027,227,2
25,0.5,0.5,0.204967,0.93417,0.774717,0.772559,1.23982,191,2
26,0.5,0.5,-0.800796,-0.197907,-0.774716,0.000641579,0.61985,247,2
