Nr,s,x1_start,x2_start,x1_opt,x2_opt,f_opt,f_calls,flag
86,0.5,-1.39154,1.86052,-0.77435,0.774586,1.23968,88,1
87,0.5,-1.64821,-1.00535,-1.5486,0.000511362,2.47855,87,1
88,0.5,1.2899,0.774744,0.774278,0.774744,1.23968,53,1
89,0.5,0.507567,-0.151391,-0.000245404,0.000952403,3.08009e-05,82,1
90,0.5,-0.181156,1.22062,-0.774906,1.54874,3.09839,81,1
91,0.5,-1.89677,1.34094,-0.775672,0.774531,1.2397,81,1
92,0.5,-0.665912,-0.594945,0.000103276,0.000758455,1.86571e-05,93,1
93,0.5,-1.53884,1.63524,0.000220574,1.5493,2.47857,86,1
94,0.5,1.4659,1.63614,0.774491,1.54825,3.09838,98,1
95,0.5,1.81209,1.9238,0.774978,0.775362,1.23969,97,1
96,0.5,1.48427,1.58535,0.775286,1.54824,3.09839,96,1
97,0.5,1.58062,-0.0148094,1.54742,0.000815563,2.47859,67,1
98,0.5,-0.498994,0.49092,-0.00094717,0.774123,0.619877,81,1
99,0.5,-1.0093,-1.15482,0.000462508,-0.000527996,1.56886e-05,93,1
100,0.5,1.75717,-0.0814478,0.774752,0.000583448,0.619848,96,1
1,1,-1.17401,0.240982,0.775213,-0.774643,1.23968,92,1
2,1,-0.187538,1.96596,0.775353,-0.000840343,0.619872,92,1
3,1,-0.302633,-0.40079,0.775492,-0.000399586,0.619861,107,1
4,1,-1.74814,-0.236896,-0.775488,0.774823,1.23969,76,1
5,1,1.60176,-0.826539,0.000198333,-0.773805,0.619864,108,1
6,1,1.95639,-0.190262,-0.000637637,0.774582,0.619851,85,1
7,1,0.949794,-0.523873,0.000575318,-0.000435221,1.65711e-05,93,1
8,1,-1.1914,0.0996499,0.775399,4.05587e-05,0.619852,99,1
9,1,0.0956276,1.66351,-7.54776e-05,-0.000554939,9.98752e-06,102,1
10,1,-0.247302,-1.47061,0.774182,9.64591e-05,0.619846,91,1
11,1,0.448894,0.479824,-0.000324306,-0.000644368,1.65704e-05,91,1
12,1,-1.16299,-0.506105,-0.000882051,-0.000245385,2.66912e-05,99,1
13,1,-1.10937,-0.571945,8.70155e-06,0.000320663,3.27661e-06,98,1
14,1,0.170594,-1.03794,-0.774719,-0.00082777,0.619859,77,1
15,1,1.85329,-1.25302,-0.000227256,0.774327,0.619844,107,1
16,1,-0.973982,-0.80188,0.000626932,-0.774536,0.619851,76,1
17,1,1.75782,0.336847,0.775399,0.000909257,0.619878,107,1
18,1,-0.864528,1.98249,0.000706747,6.35041e-05,1.60334e-05,107,1
19,1,-0.549166,-1.75461,-0.000338261,-0.774137,0.619851,99,1
20,1,-0.463086,-1.50217,-0.000195702,-0.000218626,2.74153e-06,91,1
21,1,-0.227448,-1.44131,0.774505,0.000100578,0.619839,84,1
22,1,-0.0133198,1.72838,0.000352108,0.775255,0.61985,85,1
23,1,0.347732,-0.788629,7.53688e-05,-0.774957,0.619839,108,1
24,1,0.289509,0.86045,-0.774944,-0.000877932,0.619863,86,1
25,1,1.82604,-1.49159,0.77526,0.000600142,0.619858,92,1
26,1,-1.84677,0.216081,0.000890531,-0.774153,0.619872,107,1
27,1,-0.275216,0.182485,0.775565,-0.774546,1.2397,83,1
28,1,1.69244,-0.177728,0.77447,0.775397,1.23969,92,1
29,1,-1.84946,-1.00613,0.000146854,-0.00027202,3.04291e-06,98,1
30,1,-1.32148,-1.6325,0.000787771,0.000308037,2.27823e-05,104,1
31,1,0.180609,-1.53489,-0.774469,0.000270476,0.619841,90,1
32,1,-1.42013,1.42747,-0.000208927,-0.000263038,3.5931e-06,113,1
33,1,0.515454,1.67771,-0.000170694,-2.29553e-05,9.44558e-07,110,1
34,1,0.048165,1.0587,-0.000663135,0.000107303,1.43693e-05,79,1
35,1,-1.90291,-0.846908,-0.000569041,0.000748306,2.81414e-05,83,1
36,1,1.42316,1.69697,-0.000664585,0.775093,0.619856,92,1
37,1,-1.15994,-0.859957,0.00021272,-0.000582498,1.22451e-05,91,1
38,1,0.537643,0.743988,0.000533388,0.775238,0.619855,78,1
39,1,1.12245,1.068,-0.000595255,-0.000364363,1.55101e-05,86,1
40,1,-0.806166,-1.6888,-0.774916,-0.774733,1.23968,85,1
41,1,-1.62177,1.79978,-0.000680677,0.774394,0.619855,93,1
42,1,-1.29904,-1.39256,0.775183,2.11384e-05,0.619844,112,1
43,1,1.73875,0.648653,0.773907,0.000215701,0.619859,101,1
44,1,-1.65925,1.52919,0.000906279,-0.000106462,2.65144e-05,99,1
45,1,-1.55317,0.749108,-0.000430776,0.774499,0.619845,99,1
46,1,-1.42205,-1.48023,-0.000176397,0.00023822,2.79784e-06,106,1
47,1,-0.101311,1.75709,0.00025193,0.774671,0.619839,93,1
48,1,0.345721,1.38102,1.79909e-05,0.000156523,7.90426e-07,106,1
49,1,0.717898,0.181192,0.774538,-0.773886,1.2397,92,1
50,1,0.0815105,1.85925,-0.000520783,-0.000122556,9.11442e-06,101,1
51,1,-0.903817,-1.52736,0.000480218,-1.8861e-05,7.3545e-06,83,1
52,1,1.11396,-0.899206,0.000680466,-0.000768895,3.35694e-05,85,1
53,1,1.00251,0.922676,0.000558393,0.000800753,3.03461e-05,86,1
54,1,-0.517806,-1.94063,-0.000228329,0.000780031,2.10346e-05,99,1
55,1,0.714841,-0.0746679,0.775388,-0.000449166,0.619858,77,1
56,1,-0.920631,1.10111,-0.000708888,-0.000451988,2.25067e-05,93,1
57,1,-0.988576,-0.822892,-0.000294341,-0.774064,0.619853,85,1
58,1,0.90482,0.577759,0.000522689,-0.000366476,1.29761e-05,94,1
59,1,0.396495,1.33883,1.05767e-05,0.000935585,2.78758e-05,120,1
