0; 0; 0; 
0,1; 0,064116; 1,22184; 
0,2; 0,229616; 2,00992; 
0,3; 0,449704; 2,31531; 
0,4; 0,678525; 2,20266; 
0,5; 0,880823; 1,80982; 
0,6; 0,991963; 0,223292; 
0,7; 0,935671; -1,28903; 
0,8; 0,74806; -2,38682; 
0,9; 0,475526; -2,97296; 
1; 0,17274; -2,99026; 
1,1; -0,105048; -2,49289; 
1,2; -0,314283; -1,65363; 
1,3; -0,431647; -0,690037; 
1,4; -0,454518; 0,209848; 
1,5; -0,396353; 0,913425; 
1,6; -0,281177; 1,34122; 
1,7; -0,138379; 1,46583; 
1,8; 0,00263818; 1,31433; 
1,9; 0,117657; 0,960761; 
2; 0,191334; 0,504326; 
2,1; 0,218414; 0,0437922; 
2,2; 0,202686; -0,340837; 
2,3; 0,1546; -0,597321; 
2,4; 0,0882992; -0,704081; 
2,5; 0,0185909; -0,668893; 
2,6; -0,041743; -0,523182; 
2,7; -0,0838556; -0,312462; 
2,8; -0,103697; -0,0854368; 
2,9; -0,101844; 0,115343; 
3; -0,0825482; 0,259689; 
3,1; -0,0523292; 0,332631; 
3,2; -0,0184374; 0,33428; 
3,3; 0,0125403; 0,277195; 
3,4; 0,0357156; 0,181984; 
3,5; 0,0484504; 0,0722134; 
3,6; 0,0504105; -0,0302927; 
3,7; 0,0432046; -0,108945; 
3,8; 0,0297514; -0,154321; 
3,9; 0,0135332; -0,164507; 
4; -0,00211429; -0,144087; 
4,1; -0,0145584; -0,102171; 
4,2; -0,0222036; -0,0499823; 
4,3; -0,0245821; 0,00149314; 
4,4; -0,022232; 0,0433858; 
4,5; -0,0164205; 0,0701075; 
4,6; -0,00879028; 0,079733; 
4,7; -0,00100485; 0,0736744; 
4,8; 0,0055464; 0,0558306; 
4,9; 0,00994146; 0,0314561; 
5; 0,0118023; 0,00599563; 
5,1; 0,0112626; -0,0159025; 
5,2; 0,00885127; -0,0310545; 
5,3; 0,00532898; -0,0380328; 
5,4; 0,00151275; -0,0370973; 
5,5; -0,0018769; -0,0298445; 
5,6; -0,00432452; -0,0186868; 
5,7; -0,00557274; -0,00628214; 
5,8; -0,00562051; 0,00497457; 
5,9; -0,00467685; 0,013323; 
6; -0,00308632; 0,01783; 
6,1; -0,00124416; 0,0184031; 
6,2; 0,000481945; 0,0156547; 
6,3; 0,00181119; 0,0106666; 
6,4; 0,00258303; 0,00471674; 
6,5; 0,00276344; -0,000980386; 
6,6; 0,00242798; -0,00547439; 
6,7; 0,00172872; -0,00819734; 
6,8; 0,000853822; -0,00899384; 
6,9; -1,1937e-05; -0,00807349; 
7; -0,000718826; -0,00590812; 
7,1; -0,00117201; -0,00310182; 
7,2; -0,0013382; -0,000261347; 
7,3; -0,0012403; 0,00211044; 
7,4; -0,000943258; 0,00368369; 
7,5; -0,000535074; 0,00432793; 
7,6; -0,000107249; 0,00409874; 
7,7; 0,000261854; 0,00319437; 
7,8; 0,000518328; 0,00189523; 
7,9; 0,000637725; 0,000499959; 
8; 0,000623991; -0,000730059; 
8,1; 0,000503636; -0,00160968; 
8,2; 0,000317013; -0,00204854; 
8,3; 0,000108755; -0,00204973; 
8,4; -8,08055e-05; -0,00169231; 
8,5; -0,000221909; -0,0011037; 
8,6; -0,000298658; -0,000428694; 
8,7; -0,000309287; 0,000199031; 
8,8; -0,00026391; 0,000678278; 
8,9; -0,000180605; 0,000952137; 
9; -8,08062e-05; 0,00100992; 
9,1; 1,50492e-05; 0,000880645; 
9,2; 9,09145e-05; 0,000620798; 
9,3; 0,000137144; 0,000299457; 
9,4; 0,000151022; -1,60526e-05; 
9,5; 0,00013598; -0,000271619; 
9,6; 9,98847e-05; -0,000433411; 
9,7; 5,28608e-05; -0,000490119; 
9,8; 5,10968e-06; -0,000450859; 
9,9; -3,48876e-05; -0,000339873; 
10; -6,15414e-05; -0,000189557; 
