t,alpha,omega
19,3.15162,-0.0104926
19.1,3.1506,-0.0100904
19.2,3.14961,-0.00969479
19.3,3.14866,-0.00930591
19.4,3.14774,-0.00892398
19.5,3.14687,-0.00854916
19.6,3.14603,-0.00818161
19.7,3.14523,-0.00782147
19.8,3.14447,-0.00746885
19.9,3.14374,-0.00712387
20,3.14305,-0.00678661
20.1,3.14238,-0.00645714
20.2,3.14175,-0.00613551
20.3,3.14116,-0.00582178
20.4,3.14059,-0.00551597
20.5,3.14005,-0.00521811
20.6,3.13954,-0.00492819
20.7,3.13907,-0.00464622
20.8,3.13862,-0.00437217
20.9,3.13819,-0.00410603
21,3.13779,-0.00384776
21.1,3.13742,-0.00359732
21.2,3.13707,-0.00335464
21.3,3.13675,-0.00311967
21.4,3.13645,-0.00289235
21.5,3.13617,-0.0026726
21.6,3.13592,-0.00246033
21.7,3.13568,-0.00225545
21.8,3.13546,-0.00205789
21.9,3.13527,-0.00186752
22,3.13509,-0.00168426
22.1,3.13493,-0.00150799
22.2,3.13479,-0.0013386
22.3,3.13466,-0.00117597
22.4,3.13455,-0.00101999
22.5,3.13446,-0.000870528
22.6,3.13438,-0.000727462
22.7,3.13431,-0.000590663
22.8,3.13426,-0.000460002
22.9,3.13422,-0.000335347
23,3.13419,-0.000216564
23.1,3.13418,-0.000103518
23.2,3.13417,3.92648e-06
23.3,3.13418,0.000105906
23.4,3.13419,0.000202558
23.5,3.13422,0.00029402
23.6,3.13425,0.000380429
23.7,3.13429,0.000461924
23.8,3.13434,0.000538642
23.9,3.1344,0.00061072
24,3.13447,0.000678294
24.1,3.13454,0.000741501
24.2,3.13461,0.000800475
24.3,3.1347,0.000855349
24.4,3.13479,0.000906258
24.5,3.13488,0.000953332
24.6,3.13498,0.000996701
24.7,3.13508,0.00103649
24.8,3.13518,0.00107284
24.9,3.13529,0.00110586
25,3.1354,0.00113567
25.1,3.13552,0.00116241
25.2,3.13564,0.00118619
25.3,3.13576,0.00120713
25.4,3.13588,0.00122534
25.5,3.136,0.00124094
25.6,3.13613,0.00125404
25.7,3.13625,0.00126474
25.8,3.13638,0.00127316
25.9,3.13651,0.0012794
26,3.13663,0.00128356
26.1,3.13676,0.00128574
26.2,3.13689,0.00128603
26.3,3.13702,0.00128455
26.4,3.13715,0.00128136
