t,alpha,omega
85.2,3.14159,-3.26452e-10
85.3,3.14159,-3.22459e-10
85.4,3.14159,-3.18225e-10
85.5,3.14159,-3.13768e-10
85.6,3.14159,-3.09105e-10
85.7,3.14159,-3.04254e-10
85.8,3.14159,-2.9923e-10
85.9,3.14159,-2.94049e-10
86,3.14159,-2.88726e-10
86.1,3.14159,-2.83276e-10
86.2,3.14159,-2.77713e-10
86.3,3.14159,-2.72051e-10
86.4,3.14159,-2.66301e-10
86.5,3.14159,-2.60477e-10
86.6,3.14159,-2.54589e-10
86.7,3.14159,-2.48651e-10
86.8,3.14159,-2.42672e-10
86.9,3.14159,-2.36662e-10
87,3.14159,-2.30632e-10
87.1,3.14159,-2.2459e-10
87.2,3.14159,-2.18547e-10
87.3,3.14159,-2.12509e-10
87.4,3.14159,-2.06486e-10
87.5,3.14159,-2.00484e-10
87.6,3.14159,-1.94511e-10
87.7,3.14159,-1.88573e-10
87.8,3.14159,-1.82678e-10
87.9,3.14159,-1.76831e-10
88,3.14159,-1.71037e-10
88.1,3.14159,-1.65302e-10
88.2,3.14159,-1.59631e-10
88.3,3.14159,-1.54028e-10
88.4,3.14159,-1.48498e-10
88.5,3.14159,-1.43044e-10
88.6,3.14159,-1.3767e-10
88.7,3.14159,-1.3238e-10
88.8,3.14159,-1.27176e-10
88.9,3.14159,-1.22062e-10
89,3.14159,-1.17039e-10
89.1,3.14159,-1.1211e-10
89.2,3.14159,-1.07278e-10
89.3,3.14159,-1.02543e-10
89.4,3.14159,-9.79076e-11
89.5,3.14159,-9.33728e-11
89.6,3.14159,-8.89399e-11
89.7,3.14159,-8.46098e-11
89.8,3.14159,-8.03831e-11
89.9,3.14159,-7.62605e-11
90,3.14159,-7.22424e-11
90.1,3.14159,-6.83289e-11
90.2,3.14159,-6.45202e-11
90.3,3.14159,-6.08161e-11
90.4,3.14159,-5.72165e-11
90.5,3.14159,-5.3721e-11
90.6,3.14159,-5.03292e-11
90.7,3.14159,-4.70403e-11
90.8,3.14159,-4.38538e-11
90.9,3.14159,-4.07688e-11
91,3.14159,-3.77845e-11
91.1,3.14159,-3.48997e-11
91.2,3.14159,-3.21134e-11
91.3,3.14159,-2.94245e-11
91.4,3.14159,-2.68317e-11
91.5,3.14159,-2.43337e-11
91.6,3.14159,-2.19291e-11
91.7,3.14159,-1.96165e-11
91.8,3.14159,-1.73944e-11
91.9,3.14159,-1.52613e-11
92,3.14159,-1.32155e-11
92.1,3.14159,-1.12554e-11
92.2,3.14159,-9.37949e-12
92.3,3.14159,-7.58595e-12
92.4,3.14159,-5.87309e-12
92.5,3.14159,-4.23917e-12
92.6,3.14159,-2.68244e-12
92.7,3.14159,-1.20111e-12
92.8,3.14159,2.06599e-13
92.9,3.14159,1.5425e-12
93,3.14159,2.8084e-12
93.1,3.14159,4.00611e-12
93.2,3.14159,5.13744e-12
93.3,3.14159,6.20421e-12
93.4,3.14159,7.20823e-12
93.5,3.14159,8.15131e-12
93.6,3.14159,9.03524e-12
93.7,3.14159,9.86182e-12
93.8,3.14159,1.06328e-11
93.9,3.14159,1.135e-11
94,3.14159,1.20151e-11
94.1,3.14159,1.26298e-11
94.2,3.14159,1.3196e-11
94.3,3.14159,1.37152e-11
94.4,3.14159,1.41891e-11
94.5,3.14159,1.46194e-11
94.6,3.14159,1.50076e-11
94.7,3.14159,1.53555e-11
94.8,3.14159,1.56646e-11
94.9,3.14159,1.59364e-11
95,3.14159,1.61725e-11
95.1,3.14159,1.63742e-11
95.2,3.14159,1.65432e-11
95.3,3.14159,1.66808e-11
95.4,3.14159,1.67884e-11
95.5,3.14159,1.68675e-11
95.6,3.14159,1.69193e-11
95.7,3.14159,1.69451e-11
95.8,3.14159,1.69464e-11
95.9,3.14159,1.69242e-11
96,3.14159,1.68798e-11
96.1,3.14159,1.68144e-11
96.2,3.14159,1.67293e-11
96.3,3.14159,1.66254e-11
96.4,3.14159,1.65038e-11
96.5,3.14159,1.63658e-11
96.6,3.14159,1.62122e-11
96.7,3.14159,1.60441e-11
96.8,3.14159,1.58624e-11
96.9,3.14159,1.56681e-11
97,3.14159,1.54621e-11
97.1,3.14159,1.52453e-11
97.2,3.14159,1.50185e-11
97.3,3.14159,1.47825e-11
97.4,3.14159,1.45382e-11
97.5,3.14159,1.42863e-11
97.6,3.14159,1.40275e-11
97.7,3.14159,1.37625e-11
97.8,3.14159,1.3492e-11
97.9,3.14159,1.32167e-11
98,3.14159,1.29372e-11
98.1,3.14159,1.26541e-11
98.2,3.14159,1.23679e-11
98.3,3.14159,1.20793e-11
98.4,3.14159,1.17886e-11
98.5,3.14159,1.14966e-11
98.6,3.14159,1.12035e-11
98.7,3.14159,1.09098e-11
98.8,3.14159,1.06161e-11
98.9,3.14159,1.03227e-11
99,3.14159,1.00299e-11
99.1,3.14159,9.73828e-12
99.2,3.14159,9.44802e-12
99.3,3.14159,9.15949e-12
99.4,3.14159,8.87302e-12
99.5,3.14159,8.58888e-12
99.6,3.14159,8.30735e-12
99.7,3.14159,8.02868e-12
99.8,3.14159,7.75312e-12
99.9,3.14159,7.48088e-12
100,3.14159,7.21218e-12
